_id,Timestamp,Redemption Count,Sales Count
1,2025-07-14T20:45:00,55,74
2,2025-07-14T20:30:00,45,100
3,2025-07-14T20:15:00,43,47
4,2025-07-14T20:00:00,28,32
5,2025-07-14T19:45:00,48,59
6,2025-07-14T19:30:00,159,169
7,2025-07-14T19:15:00,67,90
8,2025-07-14T19:00:00,162,146
9,2025-07-14T18:45:00,103,110
10,2025-07-14T18:30:00,96,86
11,2025-07-14T18:15:00,93,116
12,2025-07-14T18:00:00,104,109
13,2025-07-14T17:45:00,62,67
14,2025-07-14T17:30:00,143,110
15,2025-07-14T17:15:00,101,117
16,2025-07-14T17:00:00,103,103
17,2025-07-14T16:45:00,136,110
18,2025-07-14T16:30:00,109,109
19,2025-07-14T16:15:00,124,239
20,2025-07-14T16:00:00,169,158
21,2025-07-14T15:45:00,143,113
22,2025-07-14T15:30:00,205,198
23,2025-07-14T15:15:00,166,222
24,2025-07-14T15:00:00,211,205
25,2025-07-14T14:45:00,180,185
26,2025-07-14T14:30:00,193,140
27,2025-07-14T14:15:00,214,201
28,2025-07-14T14:00:00,220,203
29,2025-07-14T13:45:00,198,196
30,2025-07-14T13:30:00,221,197
31,2025-07-14T13:15:00,221,229
32,2025-07-14T13:00:00,172,178
33,2025-07-14T12:45:00,188,167
34,2025-07-14T12:30:00,218,281
35,2025-07-14T12:15:00,224,197
36,2025-07-14T12:00:00,221,206
37,2025-07-14T11:45:00,262,242
38,2025-07-14T11:30:00,228,220
39,2025-07-14T11:15:00,237,227
40,2025-07-14T11:00:00,183,149
41,2025-07-14T10:45:00,153,154
42,2025-07-14T10:30:00,125,108
43,2025-07-14T10:15:00,130,162
44,2025-07-14T10:00:00,150,215
45,2025-07-14T09:45:00,142,97
46,2025-07-14T09:30:00,120,63
47,2025-07-14T09:15:00,132,104
48,2025-07-14T09:00:00,187,210
49,2025-07-14T08:45:00,27,46
50,2025-07-14T08:30:00,335,45
51,2025-07-14T08:15:00,36,31
52,2025-07-14T08:00:00,21,65
53,2025-07-14T07:45:00,10,46
54,2025-07-14T07:30:00,10,315
55,2025-07-14T07:15:00,2,13
56,2025-07-14T07:00:00,5,35
57,2025-07-14T06:45:00,3,3
58,2025-07-14T06:30:00,18,15
59,2025-07-14T06:15:00,0,30
60,2025-07-14T06:00:00,0,5
61,2025-07-14T05:45:00,0,2
62,2025-07-14T05:15:00,0,1
63,2025-07-14T03:00:00,0,1
64,2025-07-14T02:45:00,0,2
65,2025-07-14T02:15:00,0,5
66,2025-07-14T02:00:00,0,5
67,2025-07-14T01:15:00,0,12
68,2025-07-14T01:00:00,0,1
69,2025-07-14T00:45:00,0,15
70,2025-07-14T00:30:00,0,1
71,2025-07-14T00:15:00,0,5
72,2025-07-14T00:00:00,0,11
73,2025-07-13T23:45:00,0,9
74,2025-07-13T23:30:00,9,9
75,2025-07-13T23:15:00,12,25
76,2025-07-13T23:00:00,5,26
77,2025-07-13T22:45:00,6,28
78,2025-07-13T22:30:00,8,13
79,2025-07-13T22:15:00,11,23
80,2025-07-13T22:00:00,18,37
81,2025-07-13T21:45:00,11,48
82,2025-07-13T21:30:00,32,53
83,2025-07-13T21:15:00,42,56
84,2025-07-13T21:00:00,54,66
85,2025-07-13T20:45:00,65,66
86,2025-07-13T20:30:00,95,129
87,2025-07-13T20:15:00,89,109
88,2025-07-13T20:00:00,86,77
89,2025-07-13T19:45:00,87,87
90,2025-07-13T19:30:00,161,104
91,2025-07-13T19:15:00,131,128
92,2025-07-13T19:00:00,206,251
93,2025-07-13T18:45:00,119,134
94,2025-07-13T18:30:00,174,180
95,2025-07-13T18:15:00,226,178
96,2025-07-13T18:00:00,262,238
97,2025-07-13T17:45:00,232,228
98,2025-07-13T17:30:00,288,246
99,2025-07-13T17:15:00,222,225
100,2025-07-13T17:00:00,172,224
101,2025-07-13T16:45:00,217,217
102,2025-07-13T16:30:00,379,324
103,2025-07-13T16:15:00,320,287
104,2025-07-13T16:00:00,384,364
105,2025-07-13T15:45:00,282,240
106,2025-07-13T15:30:00,436,408
107,2025-07-13T15:15:00,346,330
108,2025-07-13T15:00:00,411,372
109,2025-07-13T14:45:00,338,286
110,2025-07-13T14:30:00,458,371
111,2025-07-13T14:15:00,515,457
112,2025-07-13T14:00:00,439,354
113,2025-07-13T13:45:00,428,382
114,2025-07-13T13:30:00,364,336
115,2025-07-13T13:15:00,519,435
116,2025-07-13T13:00:00,371,383
117,2025-07-13T12:45:00,358,348
118,2025-07-13T12:30:00,318,294
119,2025-07-13T12:15:00,310,293
120,2025-07-13T12:00:00,371,295
121,2025-07-13T11:45:00,365,270
122,2025-07-13T11:30:00,293,271
123,2025-07-13T11:15:00,260,254
124,2025-07-13T11:00:00,247,219
125,2025-07-13T10:45:00,84,114
126,2025-07-13T10:30:00,116,165
127,2025-07-13T10:15:00,182,134
128,2025-07-13T10:00:00,207,148
129,2025-07-13T09:45:00,187,165
130,2025-07-13T09:30:00,226,178
131,2025-07-13T09:15:00,134,166
132,2025-07-13T09:00:00,116,90
133,2025-07-13T08:45:00,65,118
134,2025-07-13T08:30:00,50,117
135,2025-07-13T08:15:00,35,31
136,2025-07-13T08:00:00,25,52
137,2025-07-13T07:45:00,7,58
138,2025-07-13T07:30:00,13,32
139,2025-07-13T07:15:00,13,25
140,2025-07-13T07:00:00,2,6
141,2025-07-13T06:45:00,4,8
142,2025-07-13T06:30:00,10,14
143,2025-07-13T06:15:00,0,11
144,2025-07-13T05:45:00,0,6
145,2025-07-13T05:30:00,0,6
146,2025-07-13T04:00:00,0,2
147,2025-07-13T03:15:00,0,3
148,2025-07-13T02:45:00,0,5
149,2025-07-13T02:15:00,0,1
150,2025-07-13T02:00:00,0,2
151,2025-07-13T01:45:00,0,5
152,2025-07-13T01:30:00,0,8
153,2025-07-13T01:15:00,0,4
154,2025-07-13T01:00:00,0,47
155,2025-07-13T00:45:00,0,11
156,2025-07-13T00:30:00,0,13
157,2025-07-13T00:15:00,0,22
158,2025-07-13T00:00:00,0,39
159,2025-07-12T23:45:00,0,17
160,2025-07-12T23:30:00,17,93
161,2025-07-12T23:15:00,2,58
162,2025-07-12T23:00:00,16,34
163,2025-07-12T22:45:00,5,19
164,2025-07-12T22:30:00,19,69
165,2025-07-12T22:15:00,13,49
166,2025-07-12T22:00:00,22,55
167,2025-07-12T21:45:00,60,97
168,2025-07-12T21:30:00,50,82
169,2025-07-12T21:15:00,46,67
170,2025-07-12T21:00:00,107,83
171,2025-07-12T20:45:00,98,103
172,2025-07-12T20:30:00,140,161
173,2025-07-12T20:15:00,112,143
174,2025-07-12T20:00:00,106,132
175,2025-07-12T19:45:00,205,183
176,2025-07-12T19:30:00,265,237
177,2025-07-12T19:15:00,139,155
178,2025-07-12T19:00:00,217,222
179,2025-07-12T18:45:00,257,207
180,2025-07-12T18:30:00,322,340
181,2025-07-12T18:15:00,220,240
182,2025-07-12T18:00:00,325,254
183,2025-07-12T17:45:00,288,268
184,2025-07-12T17:30:00,391,332
185,2025-07-12T17:15:00,398,324
186,2025-07-12T17:00:00,375,360
187,2025-07-12T16:45:00,463,398
188,2025-07-12T16:30:00,513,431
189,2025-07-12T16:15:00,578,448
190,2025-07-12T16:00:00,642,573
191,2025-07-12T15:45:00,626,589
192,2025-07-12T15:30:00,571,488
193,2025-07-12T15:15:00,772,550
194,2025-07-12T15:00:00,868,486
195,2025-07-12T14:45:00,209,284
